id,deck_card,field,title,creator,date,holding_institution,source_url,image_url,licence,licence_url,attribution_line,alt_text,verified_date,notes
c1_1,c1 — A Greek marble statue,character,Marble statue of Eirene (the personification of peace),Kephisodotos,ca. 14–68 CE,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/247173,https://images.metmuseum.org/CRDImages/gr/web-large/DT11659.jpg,Public Domain,https://www.metmuseum.org/policies,"Marble statue of Eirene (the personification of peace), Kephisodotos (ca. 14–68 CE). The Metropolitan Museum of Art. Public domain.","A tall, headless and armless marble statue of a draped standing woman in flowing robes — the Greek personification of Peace.",2026-08-09,
c1_2,c1 — A Greek marble statue,character,Marble head of a Ptolemaic queen,Unknown,ca. 270–250 BCE,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/257603,https://images.metmuseum.org/CRDImages/gr/web-large/DP333700.jpg,Public Domain,https://www.metmuseum.org/policies,"Marble head of a Ptolemaic queen, Unknown (ca. 270–250 BCE). The Metropolitan Museum of Art. Public domain.","A carved marble head of a young woman with wavy hair, gazing calmly to one side — a classical Greek-style portrait bust.",2026-08-09,
c2_1,"c2 — A portrait subject, tired of posing",character,Old man with a red cap,Rembrandt,1654,Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Oil_study_of_an_old_man_with_a_red_hat,_Rembrandt_van_Rijn,_c._1654,_Gem%C3%A4ldegalerie,_Berlin.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Oil_study_of_an_old_man_with_a_red_hat%2C_Rembrandt_van_Rijn%2C_c._1654%2C_Gem%C3%A4ldegalerie%2C_Berlin.jpg/960px-Oil_study_of_an_old_man_with_a_red_hat%2C_Rembrandt_van_Rijn%2C_c._1654%2C_Gem%C3%A4ldegalerie%2C_Berlin.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,"Old man with a red cap, Rembrandt (1654). Gemäldegalerie, Berlin (Wikimedia Commons). Public domain.","An old man with a long grey beard and a bright red cap stands leaning wearily on a walking stick, wrapped in a heavy robe.",2026-08-09,
c2_2,"c2 — A portrait subject, tired of posing",character,Old Woman in an Armchair,Jacob Backer,Undated,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/435596,https://images.metmuseum.org/CRDImages/ep/web-large/DP146473.jpg,Public Domain,https://www.metmuseum.org/policies,"Old Woman in an Armchair, Jacob Backer (Undated). The Metropolitan Museum of Art. Public domain.","An elderly woman in a stiff white ruff and dark dress sits rigidly upright in a wooden armchair, hands resting in her lap.",2026-08-09,
c3_1,c3 — A suit of armour,character,Armor,Unknown,ca. 1535,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/35935,https://images.metmuseum.org/CRDImages/aa/web-large/DP-36184-003.jpg,Public Domain,https://www.metmuseum.org/policies,"Armor, Unknown (ca. 1535). The Metropolitan Museum of Art. Public domain.","A complete polished steel suit of armour standing upright, with a closed visored helmet, plate gauntlets and articulated leg guards.",2026-08-09,
c3_2,c3 — A suit of armour,character,Armor,Unknown,ca. 1540–50 and later,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/35937,https://images.metmuseum.org/CRDImages/aa/web-large/DP-36206-003.jpg,Public Domain,https://www.metmuseum.org/policies,"Armor, Unknown (ca. 1540–50 and later). The Metropolitan Museum of Art. Public domain.","A full steel suit of armour with a rounded visored helmet, decorated shoulder discs, and a short fluted skirt of overlapping plates.",2026-08-09,
c4_1,c4 — An Egyptian cat sculpture,character,"Statuette of the goddess Bastet, bronze",Unknown,between 722 and 332 BC,Museo Egizio (Turin),"https://commons.wikimedia.org/wiki/File:Statuette_of_the_goddess_Bastet,_bronze_-_Museo_Egizio_Turin_C_268_p01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Statuette_of_the_goddess_Bastet%2C_bronze_-_Museo_Egizio_Turin_C_268_p01.jpg/960px-Statuette_of_the_goddess_Bastet%2C_bronze_-_Museo_Egizio_Turin_C_268_p01.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"Statuette of the goddess Bastet, bronze — Museo Egizio (Turin) — Wikimedia Commons — CC0","A small green-patinated bronze figure of the cat-headed goddess Bastet, standing in a long dress and holding a basket, mounted on a wooden block.",2026-08-09,
c4_2,c4 — An Egyptian cat sculpture,character,Cat Statuette intended to contain a mummified cat,Unknown,332–30 BCE,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/544118,https://images.metmuseum.org/CRDImages/eg/web-large/DP-38628-001.jpg,Public Domain,https://www.metmuseum.org/policies,"Cat Statuette intended to contain a mummified cat, Unknown (332–30 BCE). The Metropolitan Museum of Art. Public domain.","A sleek bronze statue of a seated cat with pierced ears and a gold nose ring, sitting alert and upright on a pedestal.",2026-08-09,
c5_1,c5 — A Japanese woodblock wave,character,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Katsushika Hokusai,ca. 1830–32,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/45434,https://images.metmuseum.org/CRDImages/as/web-large/DP130155.jpg,Public Domain,https://www.metmuseum.org/policies,"Under the Wave off Kanagawa (The Great Wave), Katsushika Hokusai (ca. 1830–32). The Metropolitan Museum of Art. Public domain.","A giant cresting blue wave with clawing white foam towers over small boats, with snow-capped Mount Fuji visible small in the background.",2026-08-09,
c5_2,c5 — A Japanese woodblock wave,character,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Katsushika Hokusai,ca. 1830–32,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/36491,https://images.metmuseum.org/CRDImages/as/web-large/DP141063.jpg,Public Domain,https://www.metmuseum.org/policies,"Under the Wave off Kanagawa (The Great Wave), Katsushika Hokusai (ca. 1830–32). The Metropolitan Museum of Art. Public domain.","Another printed impression of the same giant curling wave woodblock print, with boats tossed beneath its foaming crest and Mount Fuji far behind.",2026-08-09,
